,average CF
b'20070225010000',0
b'20070225020000',0
b'20070225030000',0
b'20070225040000',0
b'20070225050000',0
b'20070225060000',0
b'20070225070000',0
b'20070225080000',0
b'20070225090000',0
b'20070225100000',0
b'20070225110000',0
b'20070225120000',0
b'20070225130000',0
b'20070225140000',0
b'20070225150000',0
b'20070225160000',0
b'20070225170000',0
b'20070225180000',0
b'20070225190000',0
b'20070225200000',0
b'20070225210000',0
b'20070225220000',0
b'20070225230000',0
b'20070226000000',0
b'20070226010000',0
b'20070226020000',0
b'20070226030000',0
b'20070226040000',0
b'20070226050000',0
b'20070226060000',0
b'20070226070000',0
b'20070226080000',0
b'20070226090000',0
b'20070226100000',0
b'20070226110000',0
b'20070226120000',0
b'20070226130000',0
b'20070226140000',0
b'20070226150000',0
b'20070226160000',0
b'20070226170000',0
b'20070226180000',0
b'20070226190000',0
b'20070226200000',0
b'20070226210000',0
b'20070226220000',0
b'20070226230000',0
b'20070227000000',0
b'20070227010000',0
b'20070227020000',0
b'20070227030000',0
b'20070227040000',0
b'20070227050000',0
b'20070227060000',0
b'20070227070000',0
b'20070227080000',0
b'20070227090000',0
b'20070227100000',0
b'20070227110000',0
b'20070227120000',0
b'20070227130000',0
b'20070227140000',0
b'20070227150000',0
b'20070227160000',0
b'20070227170000',0
b'20070227180000',0
b'20070227190000',0
b'20070227200000',0
b'20070227210000',0
b'20070227220000',0
b'20070227230000',0
b'20070228000000',0
b'20070228010000',0
b'20070228020000',0
b'20070228030000',0
b'20070228040000',0
